"sample1","sample2","Heterogeneous.Selection","Homogeneous.Selection","Dispersal.Limitation","Homogenizing.Dispersal","Drift.and.Others"
"B52","B13",0.0102704553235193,0.333561565673856,0.300182585872418,0.00684697021567956,0.349138422914527
"B53","B13",0.0365171744836243,0.427307999543535,0.295047358210658,0.0118110236220472,0.229316444140135
"B61","B13",0.0276161132032409,0.279014036288942,0.269941800753167,0.00747460915211686,0.415953440602533
"B62","B13",0.0669291338582677,0.265833618623759,0.308341892046103,0.00542051808741299,0.353474837384457
"B63","B13",0.0238502795846171,0.0217961885199133,0.503024078511925,0.00119821978774392,0.450131233595801
"B22","B21",0.00838753851420746,0.197363916466963,0.438377268058884,0.0138651146867511,0.342006162273194
"B23","B21",0.00661873787515691,0.223268287116284,0.475522081478946,0.0217391304347826,0.272851763094831
"B31","B21",0.00325231085244779,0.310224808855415,0.321237019285633,0,0.365285861006505
"B32","B21",0.0170033093689376,0.335273308227776,0.378180988246034,0.000912929362090608,0.268629464795161
"B33","B21",0.00211114914983453,0.384286203355015,0.24010042222983,0,0.37350222526532
"B41","B21",0.00930046787629807,0.359009471642132,0.393929019742097,0.0119821978774392,0.225778842862034
"B42","B21",0.01032751340865,0.378409220586557,0.374129864201757,0.0067899121305489,0.230343489672487
"B43","B21",0.00850165468446879,0.353988360150633,0.37863745292708,0.0116969074517859,0.247175624786032
"B51","B21",0.0122674883030925,0.272737646924569,0.280326372246947,0.000114116170261326,0.43455437635513
"B52","B21",0.0147209859637111,0.0888394385484423,0.409220586557115,0.000399406595914641,0.486819582334817
"B53","B21",0.0106128038343033,0.173285404541824,0.397923085701244,0,0.418178705922629
"B61","B21",0.0263608353303663,0.150233938149036,0.329396325459318,0.000114116170261326,0.493894784891019
"B62","B21",0.0669291338582677,0.0429647381033893,0.360036517174484,0.03098254022595,0.499087070637909
"B63","B21",0.0124957206436152,0.0688120506675796,0.508672828939861,0.00667579596028757,0.403343603788657
"B23","B22",0.0171744836243296,0.245635056487504,0.452584731256419,0,0.284605728631747
"B31","B22",0.00884400319525277,0.310909505876983,0.364715280155198,0.000171174255391989,0.315360036517174
"B32","B22",0.0237361634143558,0.267317128837156,0.39158963825174,0,0.317357069496748
"B33","B22",0.00581992468332763,0.32705694396896,0.22030126668949,0.0133515919205751,0.433470272737647
